23113	(Beta) FeatMaker - MCM
21822	(DTO) Otherworldy Archetypes
12756	(Very) Subtle Astarion Edit
15607	2024 Purple Dragon Knight (UA) - Fighter Subclass
15141	5e Barbarian Subclasses Combined
16007	5e Cleric Subclasses Combined
15060	5e Fighter Subclasses Combined
15907	5e Monk Subclasses Combined
15037	5e Ranger Subclasses Combined
10924	5e Reckless Attack
125	5e Spells
18435	5eSpells Icon fixes
23647	A Soul By The Stormshore (Mini Sidequest Mod)
20208	A letter from Gortash
8461	AOE Status Fixer
9832	AahzLib
22692	Abdirak\'s New Look
3901	Aberrant Mind Sorcerer Subclass
5552	Absolute Wrath
13531	Acheron Blade - DND 5E EGW
8913	Action Resource Passives
8198	Active Subtle Swap (Dark Displacement Gloves Rework)
14369	Actually Infernal Rapier
2473	Add Unarmed Attacks to Savage Attacker and Savage Attacks
7740	Additional Enemies Extended
9371	Adjustable Shove-Pull Targeting
6458	Advanced Character Sheet (ACS)
23247	Advanced Enemy Randomizer
14429	AdvancedTabletopSpells
18796	Adventurer\'s Backpacks - Wearable and dyeable backpacks for everyone
14756	Aitze\'s Shields
14755	Aitze\'s Swordtember Weapons
9310	Ajax\'s Customized Custom Difficulty
12257	Alfira Joins The Party
18585	Alpha Dither Shader Fix - Replacer and Standalone
13213	Already Inspected (Visual opened containers)
1384	Alt M Half-elf Head 2 - for other races
8960	Alternate Origin Subclasses - Shadowheart and Wyll
20820	Ambient AI
9054	Amonkhet - Strength Domain - Cleric Subclass
9089	Amonkhet - Zeal Domain - Cleric Subclass
8747	And Hold the Bra - A Dragonborn Underwear Mod
642	Animate Dead Plus Plus - Necromancy Patch
16058	AnimationUnlocker
17078	Aradin and Crew Redone - The Beno Boys
14595	Arcane Acuity Rework
19623	Arcane Recovery - Spell Balance Intent and Flavor
17011	Arcane Shots Consolidated
14717	Armory - Auto-Transmog Vanity Outfit Manager
1779	Artificer class and all subclasses
6254	Astarion Early Access Head Replacer
22984	Astarion\'s Ascended Transformation
17511	Astarion\'s Nightmare - Restored from Early Access
9676	Astral Half-Elves
2900	Astralities\' Fantasy Skintone Expansion
4964	Astralities\' Glow Eyes
7852	Astralities\' Hair Color Collection
5020	Astralities\' Hair Color Overhaul
2002	Astralities\' Hair Color Supplement
2536	Astralities\' Skintone Expansion - Natural Tones
8534	Astralities\' Sublime Skintones
8538	Astralities\' Wondrous Skintones
20933	Attitude Adjuster - Approval Gains SE
14576	Attunement (And Rarity Limits)
22300	Auntie Ethel Always Surrenders
14890	Aura of Murder Rebalanced (Bhaalist Armour and Bhaalist Cultists)
6188	Auto Lockpicking
6086	Auto Send Food To Camp
6880	Auto Use Soap
18924	Auto Wares - MCM
22662	Auto-Knockout Story NPCs
10922	Automated Summons
20247	Automatic Magical Secrets Extender
5788	Automatically Hide Summons
18079	Aylin Always Summons Moonlight Slivers
21915	Baldur\'s Eyes VP Loading Screens
1333	Baldur\'s Gate 3 Community Library
1326	Baldur\'s Priority - CPU Performance FPS Optimizer
7812	Baldurian Beauty
5904	Bane Deity (With Restored Cut Dialogue)
19249	Banite wretched armor
13929	Barbarian of our Heart - Endgame Barbarian Legendaries
21518	Barcus Wroot - Dynamic Appearances
4651	Bard Subclass - College of Eloquence
14394	Barrel Tweaks
16879	Battle Master Manoeuvres Consolidated
20428	Battle Medic Feat
20056	Bernard Evolved
14004	Best Boy Can Dig -  Scratch Shovel
1580	Better Character and Party Panels
2212	Better Combat Log 2
1416	Better Containers
3617	Better Context Menu
